"","name","handedness","height","weight","avg","HR"
"779","Ken Suarez","R",69,175,0.227,5
"780","Rick Peters","B",69,170,0.277,2
"781","Ron Stone","L",74,185,0.241,6
"783","Tommie Agee","R",71,195,0.255,130
"784","Bob Bailey","R",73,180,0.257,189
"785","Cap Peterson","R",74,195,0.23,19
"786","Ted Uhlaender","L",74,190,0.263,36
"787","Ted Simmons","B",71,193,0.285,248
"788","Bobby Murcer","L",71,160,0.277,252
"789","Dick Tracewski","R",71,160,0.213,8
"792","Bill Nahorodny","R",74,200,0.241,25
"793","Bill Madlock","R",71,180,0.305,163
"794","Bob Boone","R",74,195,0.254,105
"796","Steve Kemp","L",72,195,0.278,130
"797","Rick Burleson","R",70,165,0.273,50
"801","Carl Taylor","R",74,200,0.266,10
"802","Terry Harmon","R",74,180,0.233,4
"803","Mike Hargrove","L",72,195,0.29,80
"805","Steve Hovley","L",70,188,0.258,8
"806","Don Leppert","R",74,220,0.229,15
"814","Lee May","R",75,195,0.267,354
"816","Sam McDowell","L",77,190,0.154,2
"817","Rick Renick","R",72,188,0.221,20
"818","Jeff Torborg","R",72,195,0.214,8
"819","Dave Campbell","R",73,180,0.213,20
"820","Pat Kelly","L",73,185,0.264,76
"821","Al Weis","B",72,160,0.219,7
"822","Jerry Turner","L",69,180,0.257,45
"823","Rick Auerbach","R",72,165,0.22,9
"825","Don Wilson","R",74,195,0.146,1
"828","Sandy Valdespino","L",68,170,0.23,7
"832","Ken Phelps","L",73,209,0.239,123
"833","Cesar Cedeno","R",74,175,0.285,199
"835","Phil Linz","R",73,180,0.235,11
"836","Manny Mota","R",70,160,0.304,31
"838","Steve Renko","R",77,230,0.215,6
"839","Rick Sofield","L",73,195,0.243,9
"842","Doug DeCinces","R",74,190,0.259,237
"843","John Castino","R",71,175,0.278,41
"844","Dave May","L",70,186,0.251,96
"845","Ron Washington","R",71,155,0.261,20
"846","Billy Grabarkewitz","R",70,165,0.236,28
"847","Willie Aikens","L",75,220,0.271,110
"848","Earl Williams","R",75,215,0.247,138
"851","Don Hahn","R",73,180,0.236,7
"852","Todd Cruz","R",72,175,0.22,34
"853","Tom Egan","R",76,218,0.2,22
"854","Bob Heise","R",72,175,0.247,1
"855","Tommy Harper","R",69,165,0.257,146
"856","Joe Wallis","B",71,180,0.244,16
"857","Max Alvis","R",71,185,0.247,111
"858","Rico Carty","R",75,200,0.299,204
"859","Mike Cubbage","L",72,180,0.258,34
"861","Merritt Ranew","L",71,170,0.247,8
"862","Lyman Bostock","L",73,180,0.311,23
"863","Damaso Garcia","R",73,165,0.283,36
"866","Roy Howell","L",73,190,0.261,80
"867","Boog Powell","L",76,230,0.266,339
"869","Sonny Siebert","R",75,190,0.173,12
"871","Bobby Darwin","R",74,190,0.251,83
"873","Dan Driessen","L",71,187,0.267,153
"874","Bruce Miller","R",73,185,0.246,1
"875","Bob Bailor","R",71,170,0.264,9
"876","Tommy Helms","R",70,165,0.269,34
"877","Tony Armas","R",71,182,0.252,251
"878","Willie Horton","R",71,209,0.273,325
"879","Lou Piniella","R",72,182,0.291,102
"880","Butch Hobson","R",73,193,0.248,98
"881","John Wathan","R",74,205,0.262,21
"882","Hal King","L",73,200,0.214,24
"883","Mike Krukow","R",77,205,0.193,5
"884","Andres Mora","R",72,180,0.223,27
"885","Barry Foote","R",75,205,0.23,57
"886","Ed Ott","L",70,190,0.259,33
"887","Alan Wiggins","B",74,160,0.259,5
"888","Ron Clark","R",70,175,0.189,5
"891","Julio Gotay","R",72,180,0.26,6
"892","Gary Alexander","R",74,195,0.23,55
"893","Andre Thornton","R",75,200,0.254,253
"894","Bob Oliver","R",75,205,0.256,94
"900","Bob Robertson","R",73,195,0.242,115
"903","Ollie Brown","R",74,178,0.265,102
"905","Frank Quilici","R",73,170,0.214,5
"907","Joe Pepitone","L",74,185,0.258,219
"908","Steve Barber","L",72,195,0.115,5
"910","Norm Miller","L",70,185,0.238,24
"913","Bob Chance","L",74,196,0.261,24
"914","Julio Cruz","B",69,165,0.237,23
"915","Bill Sample","R",69,175,0.272,46
"918","Craig Kusick","R",75,210,0.235,46
"919","Rudy Meoli","L",69,165,0.212,2
"920","Ruppert Jones","L",70,170,0.25,147
"921","Glenn Hoffman","R",73,175,0.242,23
"922","Russ Gibson","R",73,195,0.228,8
"924","Terry Francona","L",73,190,0.274,16
"925","John Bateman","R",75,210,0.23,81
"926","Luis Pujols","R",74,175,0.193,6
"927","Joe Gaines","R",73,190,0.241,21
"928","Doug Rader","R",74,208,0.251,155
"929","Mickey Stanley","R",73,185,0.248,117
"932","Phil Bradley","R",72,185,0.286,78
"933","Winston Llenas","R",70,165,0.23,3
"934","Charlie Moore","R",71,180,0.261,36
"935","Ralph Garr","L",71,185,0.306,75
"936","Tommy John","R",75,180,0.157,5
"937","Bruce Benedict","R",73,175,0.242,18
"938","John Ellis","R",74,225,0.262,69
"939","Wes Parker","B",73,180,0.267,64
"941","David Green","R",75,170,0.268,31
"942","Reid Nichols","R",71,165,0.266,22
"943","Rick Reichardt","R",75,210,0.261,116
"944","Luis Tiant","R",72,180,0.164,5
"946","Broderick Perkins","L",70,180,0.271,8
"947","Leon Roberts","R",75,200,0.267,78
"948","Ray Burris","R",77,200,0.151,1
"949","Len Gabrielson","L",76,210,0.253,37
"950","Johnny Edwards","L",76,220,0.242,81
"952","Tom Grieve","R",74,190,0.249,65
"954","Bob Forsch","R",76,200,0.213,12
"956","Danny Cater","R",72,170,0.276,66
"957","Bill Schroeder","R",74,200,0.24,61
"958","Clay Dalrymple","L",72,190,0.233,55
"959","Carlos May","L",71,200,0.274,90
"960","Reggie Smith","B",72,180,0.287,314
"961","Ron Reed","R",78,215,0.158,0
"963","Davey Johnson","R",73,170,0.261,136
"964","Ellis Valentine","R",76,205,0.278,123
"965","Roy White","B",70,160,0.271,160
"966","Mike Brumley","L",70,195,0.229,5
"967","Al Luplow","L",70,175,0.235,33
"969","Dick Allen","R",71,187,0.292,351
"970","Doug Ault","R",75,200,0.236,17
"971","Mark Wagner","R",72,165,0.243,3
"973","Willie Stargell","L",74,188,0.282,475
"974","Steve Carlton","L",76,210,0.201,13
"975","Jake Wood","R",73,163,0.25,35
"976","Del Unser","L",73,180,0.258,87
"977","Bob Brower","R",71,185,0.242,17
"978","Ray Culp","R",72,200,0.123,1
"979","Ivan Murrell","R",74,195,0.236,33
"980","Lee Mazzilli","B",73,180,0.259,93
"981","Garth Iorg","R",71,170,0.258,20
"982","Alan Ashby","B",74,185,0.245,90
"983","Bob Brenly","R",74,210,0.247,91
"984","Ron Blomberg","L",73,195,0.293,52
"985","Jim Rooker","R",72,195,0.201,7
"986","Tim Blackwell","B",71,170,0.228,6
"988","Jerry Morales","R",70,155,0.259,95
"989","Davey Lopes","R",69,170,0.263,155
"990","Catfish Hunter","R",72,190,0.226,6
"991","Mario Soto","R",72,174,0.132,1
"992","Jimmy Wynn","R",70,160,0.25,291
"993","Hank Allen","R",72,190,0.241,6
"994","Jim Fregosi","R",73,190,0.265,151
"995","Pepe Frias","R",70,159,0.24,1
"996","Mike Schmidt","R",74,195,0.267,548
"997","Willie Montanez","L",72,170,0.275,139
"998","Rey Quinones","R",71,160,0.243,29
"999","Mike Squires","L",71,185,0.26,6
"1000","Champ Summers","L",74,205,0.255,54
"1002","Bert Campaneris","R",70,160,0.259,79
"1003","Bobby Valentine","R",70,189,0.26,12
"1004","Rob Andrews","R",72,185,0.251,3
"1005","Tom Haller","L",76,195,0.257,134
"1007","Ed Stroud","L",71,180,0.237,14
"1008","Ron Swoboda","R",74,195,0.242,73
"1009","Harry Spilman","L",73,180,0.237,18
"1010","Bob Barton","R",72,175,0.226,9
"1011","Daryl Sconiers","L",74,185,0.265,15
"1012","Joe Torre","R",74,212,0.297,252
"1013","Al Ferrara","R",73,200,0.259,51
"1015","Sixto Lezcano","R",70,165,0.271,148
"1017","Dave Nicholson","R",74,215,0.212,61
"1018","Freddie Patek","R",65,148,0.242,41
"1019","Ken Hubbs","R",74,175,0.247,14
"1020","Pepe Mangual","R",70,157,0.242,16
"1021","Leron Lee","L",72,196,0.25,31
"1023","Steve Ontiveros","B",72,185,0.274,24
"1024","Willie Davis","L",74,180,0.279,182
"1025","Tom Lawless","R",71,170,0.207,2
"1026","Jerry Moses","R",75,210,0.251,25
"1027","Bobby Bonds","R",73,190,0.268,332
"1028","Dave McNally","R",71,185,0.133,9
"1029","Darrell Brown","B",72,184,0.274,1
"1030","Roy Foster","R",72,185,0.253,45
"1031","Denis Menke","R",72,185,0.25,101
"1032","Hal Breeden","R",74,200,0.243,21
"1033","Manny Trillo","R",73,150,0.263,61
"1034","Jackie Gutierrez","R",71,175,0.237,4
"1035","Jerry Kenney","L",73,170,0.237,7
"1036","Fred Kendall","R",73,185,0.234,31
"1037","Mike Anderson","R",74,200,0.246,28
"1039","Joe Charboneau","R",74,205,0.266,29
"1040","Jimmie Schaffer","R",69,170,0.223,11
"1041","Junior Kennedy","R",71,175,0.248,4
"1042","Wilbur Howard","B",74,170,0.25,6
"1043","Rod Gilbreath","R",74,180,0.248,14
"1044","Mark Brouhard","R",73,210,0.259,25
"1046","Mike Young","B",74,195,0.247,72
"1047","Chris Speier","R",73,175,0.246,112
"1048","Gene Michael","B",74,183,0.229,15
"1049","Vic Harris","B",71,165,0.217,13
"1050","Mike Fischlin","R",73,165,0.22,3
"1051","Don Money","R",73,170,0.261,176
"1052","Joe Rudi","R",74,200,0.264,179
"1053","Jim Rice","R",74,200,0.298,382
"1056","Gil Garrido","R",69,150,0.237,1
"1057","Marty Perez","R",71,160,0.246,22
"1058","Tom Matchick","L",73,173,0.215,4
"1059","Jack Perconte","L",70,160,0.27,2
"1060","Ed Kirkpatrick","L",71,195,0.238,85
"1061","Jerry Grote","R",70,185,0.252,39
"1062","Ellie Hendricks","L",73,175,0.22,62
"1063","Jim Beauchamp","R",74,190,0.231,14
"1065","Tito Fuentes","B",71,175,0.268,45
"1066","Ron Brand","R",67,167,0.239,3
"1067","Leo Cardenas","R",71,150,0.257,118
"1068","Art Shamsky","L",73,168,0.253,68
"1070","Ron Cey","R",70,185,0.261,316
"1071","Skip Jutze","R",71,190,0.215,3
"1072","Butch Wynegar","B",73,190,0.255,65
"1073","Ron LeFlore","R",72,200,0.288,59
"1074","Bill Russell","R",72,175,0.263,46
"1075","Gene Tenace","R",72,190,0.241,201
"1076","Bubba Morton","R",70,175,0.267,14
"1077","Ellie Rodriguez","R",71,185,0.245,16
"1078","Darrel Chaney","B",74,188,0.217,14
"1079","Dick Nen","L",74,200,0.224,21
"1081","Bill Freehan","R",75,203,0.262,200
"1082","Steve Nicosia","R",70,185,0.248,11
"1083","Ted Savage","R",73,185,0.233,34
"1084","Pete Mackanin","R",74,190,0.226,30
"1085","Rich Dauer","R",72,180,0.257,43
"1086","Mick Kelleher","R",69,176,0.213,0
"1087","Rowland Office","L",72,170,0.259,32
"1088","Rick Leach","L",73,180,0.268,18
"1089","Dwayne Murphy","L",73,185,0.246,166
"1090","Larry Harlow","L",74,185,0.248,12
"1091","Mike Epstein","L",75,230,0.244,130
"1092","Jerry Mumphrey","B",74,185,0.289,70
"1093","Don Sutton","R",73,185,0.144,0
"1094","Glenn Beckert","R",73,190,0.283,22
"1095","Ron Davis","R",72,175,0.233,10
"1096","Mike Shannon","R",75,195,0.255,68
"1097","Jason Thompson","L",76,200,0.261,208
"1098","Wayne Tolleson","B",69,160,0.241,9
"1101","Mike Jorgensen","L",72,195,0.243,95
"1102","Ed Romero","R",71,160,0.247,8
"1103","Rick Joseph","R",73,192,0.243,13
"1104","Cecil Cooper","L",74,165,0.298,241
"1105","Bill Almon","R",75,180,0.254,36
"1106","Joe Ferguson","R",74,200,0.24,122
"1108","Jerry Terrell","R",71,165,0.253,4
"1110","Dave Revering","L",76,210,0.265,62
"1111","Curt Ford","L",70,150,0.245,7
"1112","Jerry Dybzinski","R",74,180,0.234,3
"1114","Bob Burda","L",71,174,0.224,13
"1115","Jesse Gonder","L",70,180,0.251,26
"1116","Gary Sutherland","R",72,185,0.243,24
"1117","Bob Coluccio","R",71,183,0.22,26
"1118","Dave Rader","L",71,165,0.257,30
"1119","Ron Gardenhire","R",72,175,0.232,4
"1120","Bill Sharp","L",70,178,0.255,9
"1121","Alan Bannister","R",71,170,0.27,19
"1122","Bob Watson","R",72,201,0.295,184
"1123","Ken Harrelson","R",74,190,0.239,131
"1124","Bobby Wine","R",73,187,0.215,30
"1126","John Kennedy","R",72,185,0.225,32
"1127","Chico Ruiz","B",72,169,0.24,2
"1129","Gail Hopkins","L",70,198,0.266,25
"1130","Doug Frobel","L",76,196,0.201,20
"1131","Luis Melendez","R",72,165,0.248,9
"1133","Bill Plummer","R",73,190,0.188,14
"1134","Buck Rodgers","B",74,190,0.232,31
"1135","Phil Niekro","R",73,180,0.169,7
"1137","Tom Poquette","L",70,175,0.268,10
"1139","Brian Asselstine","L",73,175,0.254,12
"1140","Rick Miller","L",72,175,0.269,28
"1141","Ed Charles","R",70,170,0.263,86
"1142","Luis Gomez","R",69,150,0.21,0
"1145","Floyd Rayford","R",70,190,0.244,38
"1147","Tony Conigliaro","R",75,185,0.264,166
"1149","Jim Barr","R",75,205,0.162,1
"1150","Jerry Remy","L",69,165,0.275,7
"1152","Frank Duffy","R",73,180,0.232,26
"1154","Tom O'Malley","L",72,180,0.256,13
"1155","Phil Garner","R",70,175,0.26,109
